name,url
"메타버스로 맛보는 서해바다, 도(道)시(視)락(樂)",https://www.kmooc.kr/view/course/detail/11590
기후변화와 에너지 선택문제,https://www.kmooc.kr/view/course/detail/11589
국제지역학입문I:지역학,https://www.kmooc.kr/view/course/detail/11588
국제지역학 입문II : 개발협력학,https://www.kmooc.kr/view/course/detail/11587
어원으로 문화읽기,https://www.kmooc.kr/view/course/detail/11582
비정형 데이터 분석: 소셜 네트워크의 분석 심화,https://www.kmooc.kr/view/course/detail/11581
교육데이터 분석,https://www.kmooc.kr/view/course/detail/11579
R 프로그래밍의 기초,https://www.kmooc.kr/view/course/detail/11578
AI융합교육의 이해,https://www.kmooc.kr/view/course/detail/11577
미래교육의 이해,https://www.kmooc.kr/view/course/detail/11576
"Identity, Agency, Equality and Security in the Age of AI",https://www.kmooc.kr/view/course/detail/11575
환경과 어린이 건강의 이해,https://www.kmooc.kr/view/course/detail/11574
한국문화 깊이 읽기,https://www.kmooc.kr/view/course/detail/11573
푸드테크 시대의 K-푸드 브랜드 스토리텔링,https://www.kmooc.kr/view/course/detail/11572
포스트휴먼 인문학,https://www.kmooc.kr/view/course/detail/11571
크리스퍼 유전자 조작이 바꿀 우리의 미래,https://www.kmooc.kr/view/course/detail/11570
직업세계와 법,https://www.kmooc.kr/view/course/detail/11569
인간행위와 사회구조,https://www.kmooc.kr/view/course/detail/11568
인간은 왜 병에 걸리는가?: 질병의 생태와 진화,https://www.kmooc.kr/view/course/detail/11567
의생명과학기술과 법,https://www.kmooc.kr/view/course/detail/11566
음악과 과학/기술,https://www.kmooc.kr/view/course/detail/11565
예술의 사회학적 읽기,https://www.kmooc.kr/view/course/detail/11564
영미문화 속 여성이야기,https://www.kmooc.kr/view/course/detail/11563
여행과 지리,https://www.kmooc.kr/view/course/detail/11562
아동의 신비한 언어습득력: 이중언어 아동,https://www.kmooc.kr/view/course/detail/11560
세 문명 이야기: 중세 지중해 교류사,https://www.kmooc.kr/view/course/detail/11559
생물다양성과 생물자원,https://www.kmooc.kr/view/course/detail/11558
"빅데이터의 세계, 원리와 응용",https://www.kmooc.kr/view/course/detail/11557
비정형 데이터 분석: 소셜 네트워크의 이해 및 분석,https://www.kmooc.kr/view/course/detail/11556
디지털 마케팅과 소셜 미디어 브랜드 콘텐츠 전략,https://www.kmooc.kr/view/course/detail/11555
기업명성과 커뮤니케이션,https://www.kmooc.kr/view/course/detail/11552
건축으로 읽는 사회문화사,https://www.kmooc.kr/view/course/detail/11551
영화 속 숨겨진 의미 읽기,https://www.kmooc.kr/view/course/detail/11550
건축 파라메트릭 디자인,https://www.kmooc.kr/view/course/detail/11549
